8,0.030581,0.037295,0.972899
24,0.031191,0.038516,0.964842
40,0.031801,0.046939,0.959592
55,0.032045,0.047671,0.962278
71,0.031191,0.043399,0.965452
87,0.032045,0.044009,0.964842
103,0.033266,0.044619,0.968748
118,0.031801,0.043399,0.973143
134,0.029726,0.045962,0.974486
149,0.028871,0.046329,0.974242
165,0.028749,0.040469,0.974852
181,0.027529,0.040713,0.965208
196,0.025453,0.037661,0.965696
212,0.027651,0.040103,0.970213
227,0.032778,0.038516,0.964842
243,0.027651,0.047916,0.9718
259,0.022523,0.039004,0.970701
274,0.024965,0.044375,0.974974
290,0.026796,0.042666,0.971556
305,0.02936,0.04938,0.967283
321,0.027895,0.041812,0.967649
337,0.029482,0.040835,0.972777
352,0.028261,0.038882,0.969603
368,0.02704,0.044864,0.972899
384,0.023622,0.040469,0.972533
399,0.030092,0.043032,0.968992
415,0.031557,0.040103,0.9718
430,0.025575,0.041323,0.971434
446,0.024599,0.036196,0.968992
462,0.026918,0.043521,0.969603
477,0.028261,0.039858,0.968626
493,0.027162,0.040225,0.975462
509,0.028871,0.04291,0.96887
524,0.028871,0.03876,0.971434
540,0.030947,0.046573,0.958249
555,0.027406,0.035464,0.96887
571,0.02411,0.043032,0.969358
587,0.028627,0.042788,0.970945
603,0.032534,0.037783,0.970457
618,0.030214,0.040957,0.972288
634,0.030947,0.03937,0.974242
649,0.028627,0.045596,0.968138
665,0.027162,0.040591,0.968992
681,0.027162,0.039858,0.971068
696,0.030458,0.040835,0.970091
712,0.031557,0.040591,0.973143
727,0.028627,0.039614,0.966551
743,0.030214,0.044986,0.969603
759,0.029238,0.046329,0.969969
774,0.029238,0.044009,0.965574
790,0.030581,0.03998,0.973875
806,0.033144,0.044131,0.966551
821,0.02704,0.038027,0.969236
837,0.028749,0.043765,0.968992
852,0.029482,0.045352,0.970213
868,0.026918,0.045596,0.974364
884,0.029482,0.043277,0.968504
899,0.028261,0.040591,0.968138
915,0.029604,0.041934,0.968504
931,0.026918,0.042788,0.9718
946,0.034487,0.041323,0.965452
962,0.028505,0.04938,0.971068
977,0.02643,0.044619,0.963987
993,0.024354,0.040591,0.971068
1009,0.026918,0.040225,0.970457
1024,0.029726,0.044375,0.971312
1040,0.031557,0.03876,0.970457
1056,0.031191,0.0423,0.9718
1071,0.02643,0.046695,0.967771
1087,0.032412,0.043643,0.972166
1103,0.022523,0.0423,0.968016
1118,0.029848,0.045718,0.972777
1134,0.031069,0.042666,0.975951
1149,0.029848,0.04291,0.966429
1165,0.029482,0.044742,0.970579
1180,0.026186,0.040713,0.973631
1196,0.033022,0.040957,0.969969
1212,0.028261,0.040835,0.965696
1227,0.024721,0.044864,0.968382
1243,0.032045,0.039614,0.968504
1259,0.029726,0.045108,0.972655
1274,0.030458,0.043032,0.970091
1290,0.028505,0.035097,0.969358
1306,0.031679,0.036929,0.973143
1321,0.027529,0.038516,0.974486
1337,0.027651,0.046451,0.965696
1353,0.027284,0.043765,0.973143
1368,0.029604,0.040835,0.963987
1384,0.028261,0.041934,0.969358
1399,0.028749,0.043521,0.977782
1415,0.030703,0.038638,0.965452
1431,0.029848,0.03998,0.971922
